id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.0750302141203267e+18,Charming Condo Steps Away from NOLA's Attractions,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,173.0,1,4,2024-03-04,4.0,60,0,4,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0750388804610924e+18,Waterfront New Orleans Retreat w/ Boat Dock & Lift,456477857,Evolve,,Lake Catherine,30.07107,-89.81776,Entire home/apt,150.0,30,0,,,39,348,0,
1.0769068377653588e+18,New Centrally Located 3 Bedroom,455096927,Lance,,Broadmoor,29.94103,-90.09719,Entire home/apt,138.0,3,0,,,1,139,0,"22-CSTR-05209, 21-OSTR-03993"
1.0750673050954616e+18,Stylish 1BR Condo Steps Away from Canal Streets,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,194.0,1,2,2024-02-19,2.0,60,321,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0750857340009992e+18,Vibrant 1BR Condo near the French Quarter,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,198.0,1,1,2024-02-24,1.0,60,322,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0750998303786068e+18,Magnificent 1BR Condo near NOLA's Sights,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,194.0,1,2,2024-03-06,2.0,60,310,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0769655680952696e+18,Hidden One Bedroom Uptown/Freret,57540583,Robert,,Uptown,29.93223,-90.106,Entire home/apt,139.0,3,0,,,3,82,0,"22-RSTR-16746, 22-ostr-16753"
1.076973845295736e+18,Historic City Park Gem - Monthly Rental,2019341,Historic Getaways,,City Park,29.9810897,-90.09611579,Entire home/apt,400.0,3,1,2024-02-02,0.77,32,103,1,"23RSTR-58364, 23OSTR-84753"
1.0769922017154912e+18,Maison Bleue - Luxe NOLA Living,64365837,Mike,,Tulane - Gravier,29.95772,-90.08638,Entire home/apt,215.0,3,4,2024-03-07,3.24,57,345,4,"21CSTR-68921, 20OSTR-12347"
1.075127315040214e+18,Spacious Modern 1BR Condo in California Building,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,198.0,1,1,2024-02-21,1.0,60,322,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.077000128526664e+18,French Quarter Suite,52672014,Angela,,Seventh Ward,29.97007,-90.0673,Entire home/apt,129.0,3,2,2024-02-19,1.67,2,347,2,"22-RSTR-24460, 22-OSTR-24460"
